chara__name,frontier_high,crash_high,high_skill_note,artifacts_recomm,artifacts_note,aside_dependency,aside_note,,,,,,,,tier,personality,atk_type,line,role
비비,X,X,"고학년은 순수 딜링기이며, 탱커 특성상 피해 기대값이 낮고 유틸이 없기 때문에 사용하지 않습니다.","프리클의 여왕 대리 인장,기원의 성배, 캬롯의 사탕수수",SP 회복 중심,보통,,,,,,,,,[1]메타픽,순수,마법,전열,탱커
슈로,O,O,"서포터라서 공격력 스탯은 낮은 편이지만, 고학년 스킬 사용 시 가장 공격력이 높은 아군의 공격력을 복사해오기 때문에 딜 기대값이 높습니다.<br>다만 이를 위해서는 고학년 재사용 대기시간을 줄여주는 어사이드 ★2가 필요하다는 점을 주의해주세요.","날씨는 맑음,리츠의 대지 뽀개기.프리클의 여왕 대리 인장",서포팅 및 서브딜 중심,보통,"저학년에 적 방어력 감소가 추가되는데, 사실상 받는 피해량 증가로 작동하기 때문에 고려해볼 만합니다.",,,,,,,,[1]메타픽,활발,물리,전열,서포터
슈팡,,,,,,,,,,,,,,,[1]메타픽,활발,마법,후열,서포터
스노키,,,,,,,,,,,,,,,[1]메타픽,우울,물리,전열,탱커
시온 더 다크불릿,,,,,,,,,,,,,,,[1]메타픽,우울,물리,후열,딜러
시저,,,,,,,,,,,,,,,[1]메타픽,냉정,마법,중열,서포터
아네트,△,△,"저학년 모션 발동 직후 고학년을 사용하면 긴 모션을 캔슬할 수 있습니다만, 타이밍이 매우 짧기 때문에, 가능한 사람만 고학년을 사용해줍시다.","벨리타의 지팡이,벨리타의 지팡이,캬롯의 사탕수수","고학년 피해 계수만 제외하면 모든 유틸이 독립적인 비율를 가지기 때문에, SP 회복량만 신경 쓰고 남은 마법 피해 아티팩트 적당히 주시면 됩니다. ",필수,발현 시 저학년에 일반 공격 피해량 증가가 추가 되기 때문에 필수입니다.,,,,,,,,[1]메타픽,광기,마법,중열,서포터
아일라,O,O,고학년에 공격 속도 증가 + 최대 HP 증가가 붙어 있어서 고학년 슬롯을 한 칸 주기 충분한 사도입니다.,"벨리타의 지팡이,벨리타의 지팡이,캬롯의 사탕수수","SP 회복 중심, 남은 마법 피해 아티팩트 적당히 쥐어주면 됩니다.",낮음,"일반적인 상황에서는 의존도가 낮지만, 개전 시 고학년 재사용 대기시간 초기화가 추가되기 때문에, 몸 비틀기할 때는 의존도가 높습니다.",,,,,,,,[1]메타픽,순수,마법,중열,서포터
에르핀(왕도),,,,,,,,,,,,,,,[1]메타픽,순수,마법,중열,딜러
오르,,,,,,,,,,,,,,,[1]메타픽,우울,마법,후열,서포터
요미,X,X,"고학년에는 초당 마법피해와 아군 SP 회복이 있지만, 기대값이 낮아서 거의 사용하지 않습니다.","셰이디의 차원 사슬낫,날씨는 맑음,다야의 다이아몬드 커터",저학년과 강화 공격이 모두 타수가 많기 때문에 공격 횟수에 맞춰 발동되는 아티팩트들과 시너지가 좋습니다.,높음,저학년 장판과 강화공격 지속 시간이 4초나 늘어나기 때문에 의존도가 높습니다.,,,,,,,,[1]메타픽,우울,마법,중열,딜러
우로스,X,X,"고학년은 순수 딜링기이며, 저학년 버프 유지가 핵심이라서 사용하지 않습니다.","장난감 망원경,장난감 망원경,제이드의 비싼 만년필","본인 공격력이 아니라 아군 공격력에 비례하는 버프 계수를 가지고 있기 때문에 아티팩트 선택이 비교적 자유로운 사도입니다. <br>뮤트 등 마법 피해 사도가 같이 있으면 만년필, 후열 물리 엘다인이 없어서 망원경이 남는 경우 망원경을 주시면 됩니다. ",보통,받는 피해량 증가를 부여하는 효과가 추가되기 때문에 고려해볼 만합니다.<br>A3 발현 시 '같은 성격 사도 피해량 45% 증가'가 추가되기 때문에 A3가 높은 효용을 보입니다.,,,,,,,,[1]메타픽,공명,물리,후열,서포터
우이,,,,,,,,,,,,,,,[1]메타픽,활발,마법,중열,서포터
이드,,,,,,,,,,,,,,,[1]메타픽,냉정,마법,전열,탱커
죠안,O,O,"고학년 사용 시 '꿈결 형상'으로 전환되고, 형상이 유지되는 동안 기본 공격에 다양한 유틸이 붙기 때문에 고학년 사용이 필수입니다.","기원의 성배,실라의 바람살,?","공격력보다는 SP 회복 및 공격 속도가 중요한 사도이기 때문에 남는 공속, 물리 피해 아티팩트를 적당히 쥐여 주시면 됩니다.",낮음,"명함에 성능의 8-9할이 있어서 어사이드 의존도가 높은 사도는 아니나, 고학년 사용 시 광역 기절이 추가되어 우로스 프론티어에서 어사이드를 전제하고 채용됩니다.  ",,,,,,,,[1]메타픽,우울,물리,전체열,서포터
티그(영웅),O,O,"고학년에 본인 HP 계수가 붙어 있어 딜 기댓값이 아주 높고, A2 발현 시 '영웅심'이라는 본인 강화 버프가 추가되기 때문에 고학년 사용은 필수입니다.<br>다만 고학년 사용 시 그 자리에 고정되는데, 저학년은 적 방향ㅇ으로 튀어 나갔다가 돌아오는 모션을 가지고 있어서 저학년 사용 중 고학년을 사용하면 적진 한복판에 노출됩니다. 사용에 주의해주세요","장난감 망원경,장난감 망원경,버터의 옐로카드","물리 피해, 일반 공격 중심",높음,"용기로 성격 승격, 고학년 사용 시 자기 강화 버프 '영웅심'을 추가시켜 줍니다. '영웅심'이 유지되는 동안 본인 피해가 큰 폭으로 상승하기 때문에 의존도가 높습니다.",,,,,,,,[1]메타픽,광기,물리,전체열,딜러
폴랑,,,,,,,,,,,,,,,[1]메타픽,광기,물리,후열,서포터
가비아,,,,,,,,,,,,,,,[2]성격덱,순수,마법,중열,서포터
그윈,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,전열,서포터
다야(퓨어샤인),,,,,,,,,,,,,,,[2]성격덱,광기,마법,중열,서포터
델리아,,,,,,,,,,,,,,,[2]성격덱,순수,물리,전열,딜러
로네(시장),,,,,,,,,,,,,,,[2]성격덱,우울,물리,중열,딜러
림,,,,,,,,,,,,,,,[2]성격덱,우울,물리,전열,딜러
림(혼돈),,,,,,,,,,,,,,,[2]성격덱,광기,물리,후열,딜러
마요(멋짐),,,,,,,,,,,,,,,[2]성격덱,순수,물리,중열,딜러
미로,,,,,,,,,,,,,,,[2]성격덱,활발,물리,전열,탱커
바롱,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,전열,딜러
블랑셰,,,,,,,,,,,,,,,[2]성격덱,우울,마법,중열,딜러
샤샤,,,,,,,,,,,,,,,[2]성격덱,우울,마법,중열,딜러
셰럼,,,,,,,,,,,,,,,[2]성격덱,순수,마법,전열,탱커
셰이디(역전),,,,,,,,,,,,,,,[2]성격덱,활발,물리,후열,서포터
스피키(메이드),,,,,,,,,,,,,,,[2]성격덱,활발,마법,후열,딜러
실라,,,,,,,,,,,,,,,[2]성격덱,냉정,물리,후열,딜러
아르코,,,,,,,,,,,,,,,[2]성격덱,활발,물리,중열,딜러
아멜리아,,,,,,,,,,,,,,,[2]성격덱,냉정,물리,후열,서포터
아멜리아(R41),,,,,,,,,,,,,,,[2]성격덱,우울,마법,후열,서포터
아사나,,,,,,,,,,,,,,,[2]성격덱,우울,물리,전열,탱커
아야,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,중열,딜러
아이시아,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,후열,딜러
에피카,O,O,"리워크 후 고학년 모션 중에도 일반 공격이 나가도록 바뀌었기 때문에, 고학년 사용합니다.","슈슈슈슉 글러브,버터의 옐로카드,버터의 옐로카드",공격 속도 및 강화 공격 중심,필수,"일반 공격에 투사체 하나가 더 추가되기 때문에, 어사이드 발현을 전제하고 기용되는 사도입니다.",,,,,,,,[2]성격덱,활발,물리,중열,딜러
잉클,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,후열,딜러
제이드,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,중열,딜러
캐시,,,,,,,,,,,,,,,[2]성격덱,순수,물리,후열,딜러
코미(수영복),,,,,,,,,,,,,,,[2]성격덱,냉정,마법,중열,서포터
클로에,,,,,,,,,,,,,,,[2]성격덱,광기,마법,전열,탱커
키디언,,,,,,,,,,,,,,,[2]성격덱,우울,물리,전열,딜러
포셔,,,,,,,,,,,,,,,[2]성격덱,우울,마법,후열,서포터
프리클,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,중열,딜러
피코라,,,,,,,,,,,,,,,[2]성격덱,냉정,마법,후열,서포터
하이디,,,,,,,,,,,,,,,[2]성격덱,광기,물리,후열,딜러
